,asset,direction,signal,beta_to_SPY,weight,dollar_weight
LHX,equity,long,-0.4390570399587614,0.66,0.14720638319823728,29441.276639647458
SIVR,commodity,long,1.5366996398556647,0.3949153195722861,0.05867879340030158,11735.758680060315
METSO.HE,equity,long,-0.4390570399587614,1.164,0.05266697467591421,10533.394935182843
MU,equity,long,1.0976425998969035,1.503,0.02144669681908765,4289.33936381753
UGL,commodity,long,0.2195285199793807,0.09737708229715068,0.01798742085675354,3597.484171350708
OKLO,equity,short,-1.5366996398556647,0.773,-0.002389751471615535,-477.950294323107
SPY,equity,,0.0,1.0,-0.012864934985708705,-2572.986997141741
RCAT,equity,short,0.658585559938142,1.198,-0.026970570125818542,-5394.114025163709
AUR,equity,short,-1.0976425998969035,2.477,-0.06806488408460605,-13612.97681692121
